,Persistencia,LR,kNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CNNLSTM,Attention
4458,"0,95694037","0,9461434605","0,9530760846","0,9486343056","0,9505375076","0,9450052991","0,9410310885","0,9542923297","0,9547967983","0,9537221508","0,9535057878","0,9516202387","0,9510127955","0,9530611946","0,9541693072","0,9557510602"
6980,"0,82002338","0,8397300558","0,8297455711","0,8310996338","0,6410943995","0,8112604428","0,8231981445","0,8536819703","0,8449053744","0,8543216728","0,8492477214","0,8475573272","0,8449716755","0,8542419654","0,8368526226","0,8294489923"
10124,"0,77013655","0,8124029045","0,83262947","0,8164867084","0,8219879887","0,8131344574","0,7718912452","0,835037042","0,8351508716","0,8328949881","0,832640783","0,8341019618","0,8303283426","0,8355091203","0,8357464575","0,8332017506"
6132,"0,72892776","0,7845692941","0,8088225335","0,7916545767","0,7995417597","0,8016648773","0,7772153152","0,8087662587","0,808177195","0,806577716","0,805655974","0,8060336689","0,8056980848","0,8084925613","0,8097289507","0,8102464979"
3642,"0,86025293","0,874908881","0,8988029132","0,8871794341","0,887353645","0,8857526665","0,881820038","0,8981763305","0,898582618","0,8970366928","0,8969443958","0,8976253843","0,9002299431","0,8995213403","0,9004699332","0,9010054444"
4192,"0,95629486","0,9614671332","0,9666442258","0,9634339673","0,9644203699","0,9607923732","0,9539189112","0,9674055737","0,9673507247","0,966504984","0,9662857489","0,9662446548","0,9659079379","0,9675416406","0,9650700704","0,9672060309"
3697,"0,95540974","0,9624753877","0,9676048538","0,9646088804","0,9662450059","0,9645900051","0,9519261081","0,9683258341","0,9683316248","0,9673629833","0,9676821121","0,9654780224","0,9657720818","0,9670576355","0,9675380402","0,9667355667"
3910,"0,94496586","0,9506216675","0,963096308","0,9592449513","0,9599707863","0,9545913664","0,9460238381","0,9631679672","0,9634507065","0,9626694584","0,9627519232","0,9614983652","0,9627510438","0,9627740557","0,9645674506","0,9633550413"
3500,"0,61752015","0,7110835245","0,7070029265","0,6778924358","0,6946189574","0,708309224","0,6771688737","0,7190922032","0,7209229827","0,7162607516","0,7151170917","0,7176684379","0,72677949","0,7122824439","0,7123170893","0,7114952739"
5761,"0,93672281","0,9441583648","0,9539090797","0,9485696832","0,9525719504","0,9487116998","0,9403953238","0,9541802861","0,9543496505","0,9528224874","0,9527660291","0,9514952788","0,9528121583","0,9492479366","0,9537077449","0,955005129"
402577,"0,96176129","0,9657017332","0,96733336","0,9641695565","0,9663904623","0,9661741877","0,9604858375","0,9668004814","0,9669348765","0,966629695","0,9666697697","0,9676754328","0,968167996","0,9676719961","0,96205576","0,9668127899"
402045,"0,86082437","0,899127594","0,9015795096","0,8942255624","0,8996266833","0,9014044234","0,8879390231","0,9017134764","0,9018528124","0,9010031012","0,9010756188","0,9007154414","0,9014469027","0,9011479328","0,9009897317","0,9006524369"
401952,"0,88706342","0,9147378375","0,9191161094","0,9119643016","0,9180909388","0,9187984482","0,9110217979","0,9189184602","0,919033625","0,9185528401","0,9185438938","0,9192157484","0,9199267936","0,9195906627","0,9175225039","0,9173450702"
407479,"0,98790406","0,9862746097","0,9897856382","0,9864276495","0,986856903","0,9864593845","0,9794956434","0,9896355214","0,9895208919","0,9877983465","0,9876513445","0,9876298507","0,9880964154","0,9873759894","0,9879915237","0,9866460558"
404356,"0,993808","0,9934509629","0,9969999133","0,9919459739","0,9938434052","0,9936245808","0,9865085812","0,9950687347","0,9951967052","0,9942282215","0,9942568235","0,9944012865","0,994412249","0,9944099459","0,9946485852","0,9942529133"
401256,"0,87293317","0,9034165247","0,9081989738","0,9004904689","0,9076749095","0,9085346166","0,8920315143","0,908614354","0,9086135648","0,9079146461","0,9078701042","0,9087101394","0,9092022153","0,9091587093","0,9094215248","0,9074389713"
401657,"0,89094926","0,9080090951","0,9083911539","0,8998504576","0,9073925297","0,908433417","0,8825912193","0,9079193558","0,9081619934","0,9072660559","0,9075083394","0,9088345902","0,9063071246","0,9071564968","0,9074200604","0,9076920108"
407990,"0,8404984","0,8846059199","0,8891775973","0,8794389136","0,8877829709","0,888336467","0,8734024604","0,8888777078","0,8890669084","0,8877344453","0,8874722598","0,8879871631","0,8892281031","0,887678618","0,887582675","0,8874297506"
400359,"0,92174085","0,9413663951","0,9444949491","0,9406317785","0,9437149657","0,9448495012","0,9370510967","0,944908938","0,9451682678","0,9450467636","0,9448934082","0,9453797194","0,9453706316","0,94435882","0,9448511235","0,9448688332"
409306,"0,78059384","0,8000584903","0,8045023309","0,7903304854","0,7936211689","0,795701048","0,7053761055","0,8032355019","0,8083809315","0,8028719967","0,801067825","0,8078834246","0,8057729796","0,8049180305","0,7966169397","0,7875922556"
145,"0,56767585","0,7048228069","0,7273946897","0,7190332414","0,7204352866","0,6985853774","0,6016108379","0,7322448664","0,7323756079","0,7290293547","0,7276505413","0,7272984708","0,731567483","0,7375959834","0,7366946982","0,7171273106"
418,"0,85842101","0,8138133128","0,8149529339","0,8086781784","0,8146388359","0,8180314629","0,7484768613","0,8213858818","0,8231484008","0,8213040235","0,8167119959","0,8240958307","0,8244696802","0,8224393322","0,8166252388","0,8212062503"
137,"0,93056761","0,925400246","0,9277664004","0,9254368148","0,9250094337","0,913641106","0,8336744324","0,929504753","0,93015451","0,9291971499","0,9287042897","0,9306806552","0,9290149356","0,9289980488","0,9294787252","0,9283446872"
169,"0,94469234","0,9370152852","0,9416852544","0,9383043442","0,9397159813","0,895637794","0,9206013917","0,9429921858","0,9435873315","0,941529683","0,9412872877","0,9429923104","0,9428760095","0,9429673346","0,9417040875","0,9430131409"
157,"0,88785273","0,8655325508","0,8714781352","0,8628707908","0,8703993806","0,8111083568","0,8464623014","0,8731309678","0,8746479259","0,8710608032","0,8714895257","0,8720670582","0,871119429","0,8702886242","0,8747969162","0,8715004551"
259,"0,93997311","0,9365639459","0,9380112075","0,934521045","0,9370076181","0,9086133571","0,9318128388","0,9387686358","0,9399445497","0,9387187607","0,939016094","0,9388611422","0,9395362154","0,940416231","0,9393116773","0,9367563708"
217,"0,94039988","0,927802771","0,9316826638","0,9296204436","0,9296986083","0,9215653986","0,9260019585","0,933528186","0,9340303287","0,9335913412","0,9306825906","0,9327369291","0,9285640215","0,9317301486","0,9336705848","0,9339566386"
106,"0,83126838","0,8153151427","0,826114044","0,8182963946","0,8102642553","0,7831687124","0,7592441768","0,8291600862","0,8300768012","0,8256057175","0,83000757","0,8234974488","0,8356613899","0,8311163693","0,8166582209","0,8053555687"
295,"0,78144606","0,7630901857","0,7743267731","0,7693100672","0,7660336612","0,7815646382","0,7407758418","0,7784081764","0,7812444698","0,7813479268","0,7896256284","0,7811453959","0,7817822677","0,7741367427","0,7679890129","0,7944011247"
318,"0,92944911","0,9180927011","0,9216451262","0,9182689928","0,9191662928","0,8990514629","0,9017912271","0,9237243956","0,924250183","0,9233943838","0,9168063912","0,9209534629","0,9201105062","0,9231872033","0,9218226436","0,9221740839"
2,"0,92044022","0,9265684949","0,9351259161","0,9301495365","0,9356637881","0,9363225865","0,9179367372","0,9363863087","0,9368266335","0,9365329312","0,9365865843","0,9365351873","0,9363530889","0,9359464827","0,9373326857","0,9332197444"
74,"0,88590784","0,8927813461","0,9045147044","0,8971696472","0,9038004651","0,9054514374","0,8799879395","0,9078613148","0,907932269","0,9062195662","0,9062519293","0,9074289308","0,8957177196","0,9060913632","0,9065207555","0,9071394232"
90,"0,83683965","0,8360518675","0,8592480815","0,8472235568","0,8193685039","0,8622705004","0,826535002","0,86176391","0,8629391973","0,8609931513","0,8607825366","0,8632592634","0,8549225287","0,8603124458","0,8555278965","0,8523115085"
95,"0,8270625","0,8443477413","0,8616146149","0,8517099974","0,8615335808","0,8652512365","0,6707987076","0,865217088","0,86633833","0,8653414914","0,8656958794","0,8638502117","0,8655090639","0,8626558473","0,8626568228","0,8602894798"
120,"0,89262545","0,8993192729","0,8983512349","0,892444311","0,9055624832","0,9072095918","0,8740029716","0,9008438547","0,9004378276","0,8970982741","0,898935375","0,9044525651","0,9105905354","0,9081160616","0,905866815","0,9044822453"
145,"0,92381903","0,9266681917","0,9412487559","0,935670535","0,9374691452","0,940025864","0,8967278606","0,9415416313","0,9422569865","0,941411701","0,9416392781","0,9404229691","0,940458524","0,9388380956","0,9382251405","0,9394832486"
147,"0,92208548","0,9232122188","0,9418548389","0,9333073539","0,9376086472","0,9446704847","0,9078034224","0,9427460747","0,943525513","0,9433138379","0,9410933654","0,9421614406","0,9443963432","0,9418289259","0,9449722056","0,9424731122"
230,"0,89281743","0,8628391756","0,874366714","0,8661576543","0,8738149701","0,8870285967","0,8184565037","0,8766974049","0,8772095708","0,8758158625","0,8760028815","0,8672787924","0,8770756915","0,8783394395","0,8764507284","0,8788467412"
233,"0,84123162","0,8565366224","0,8632279839","0,8548589902","0,8635643424","0,8681014839","0,8331372707","0,8671788895","0,8682726199","0,8670642431","0,8669064053","0,8652012364","0,8684494053","0,8674723968","0,8688923214","0,8690235238"
285,"0,90815804","0,9018061461","0,9088192175","0,9025014575","0,9086908886","0,9126687394","0,8765021249","0,9103290991","0,9108796712","0,9099320412","0,9095116087","0,909375326","0,9236838983","0,9156587183","0,9120047048","0,9148823581"
