Horizonte,LV,LR,KNN,DTR,ELM,SVR,ADA,RFR,ETR,GBR,XGBR,FNN,CNN,LSTM,CLSTM,ATT
1,0.8547194424,0.8787560674,0.8881333966,0.8788804577,0.863834237,0.8793812412,0.8664588886,0.8922125796,0.8916018546,0.8910173885,0.8902597567,0.889932334,0.8906263553,0.8909729894,0.8900167667,0.8893450787
2,0.7942137961,0.8262323124,0.8558405129,0.841228497,0.8390330144,0.8400211634,0.8174184713,0.8596401591,0.8587797642,0.8566781704,0.8558292166,0.8555404858,0.8567943941,0.8579764095,0.8596734356,0.8565577676
3,0.7275150798,0.7707372863,0.8231027817,0.8049859032,0.7928213157,0.8005492591,0.7739200843,0.827374461,0.8266774756,0.8247066554,0.825616583,0.8228587295,0.8256489268,0.8235485936,0.8258208135,0.8210503366
4,0.652556513,0.7080898072,0.7893324039,0.7674383263,0.7403035317,0.7545020427,0.7226014902,0.7917473405,0.7935302238,0.7884077422,0.7884175348,0.7870391357,0.7908477246,0.7892465699,0.7891214725,0.7876797687
1,0.8998076656,0.9196749162,0.9229579536,0.9159475148,0.9204994937,0.9212316074,0.9015903279,0.9225692532,0.9231930577,0.9219046112,0.9217009387,0.9228432796,0.9227931411,0.9223467201,0.9209100428,0.9200731088
2,0.8853727661,0.9078843214,0.9124477795,0.903023084,0.9097159991,0.9094021591,0.8886214038,0.9118097732,0.9123355985,0.9107731602,0.9109171276,0.9109157824,0.9109604199,0.910853697,0.9118438082,0.9094517823
3,0.8751367923,0.8968044678,0.9032250936,0.8926189639,0.8993405471,0.8993589712,0.8797465975,0.9023243074,0.9031331111,0.9013229766,0.9013063564,0.9013228092,0.9009747911,0.9021718444,0.9020923689,0.8998743642
4,0.8623605547,0.8853254491,0.8940171029,0.8820597987,0.8885971143,0.8890587121,0.8567772572,0.8928885049,0.8937506364,0.8915739474,0.8916475123,0.8919112908,0.89226678,0.892041358,0.8893370845,0.8904157892
1,0.8611746082,0.8607448948,0.8675057228,0.8624340313,0.8632369354,0.8430967666,0.8210451868,0.8702848135,0.8713460109,0.8694779144,0.8691981914,0.8694328704,0.8704701938,0.8702876018,0.8678751805,0.8673835631
2,0.7972187089,0.7995349462,0.8110348762,0.8023573024,0.808678438,0.7850720223,0.7414479994,0.8140800401,0.8149992706,0.8126123754,0.8125102284,0.8145147713,0.8100430945,0.8129516249,0.813728909,0.8127035957
3,0.7418750051,0.750523675,0.764845924,0.7523122551,0.759357279,0.734904145,0.6729728217,0.7675677465,0.769259455,0.7658109618,0.7657427204,0.7662395947,0.7659798514,0.7713236871,0.7658439659,0.7536747887
4,0.6929691365,0.7074957535,0.7236860302,0.7060340516,0.7182110974,0.6883917981,0.651587189,0.7256929052,0.7278058856,0.7244906012,0.7207631168,0.7293512138,0.7269586813,0.7242432562,0.7252342221,0.7170989656
1,0.8850987274,0.8870131077,0.8988372062,0.891119304,0.8947076815,0.9029000521,0.850188854,0.9010565576,0.9016618619,0.90037231,0.9003405844,0.8999965923,0.9017156799,0.9015259776,0.9008450076,0.9002151385
2,0.8138696099,0.8249248893,0.8389688715,0.8259728332,0.8348682821,0.8392848031,0.7809535345,0.8417066374,0.8425646295,0.8406956292,0.8398576361,0.8414710043,0.8398143628,0.8412060202,0.8412011207,0.8323749894
3,0.7526509411,0.7731011885,0.7882505858,0.771204386,0.7835738839,0.7849693051,0.6622038156,0.7911273041,0.7922771775,0.7897918625,0.7885033712,0.7920433462,0.7900169289,0.7925529423,0.7899008552,0.7864093347
4,0.6942333752,0.7240496829,0.7411056405,0.7219676785,0.7378428473,0.7326549894,0.6180460806,0.744244824,0.7449781077,0.7424077648,0.740331375,0.7470984186,0.7430651383,0.7438395654,0.7392491327,0.7377771056
