Relationships,Input,Coverage,Horizon,unit
spatio-temporal,TS,point,single-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,TS,network,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,multi-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,network,multi-step,1
spatio-temporal,graph,network,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,graph,network,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,image,network,multi-step,1
spatio-temporal,graph,network,single-step,1
temporal,TS,point,multi-step,1
temporal,TS,point,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,image,network,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,multi-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,multi-step,1
temporal,TS,point,multi-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,multi-step,1
temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,image,-,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,TS,network,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,graph,network,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,graph,network,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,network,multi-step,1
spatio-temporal,graph,network,multi-step,1
spatio-temporal,image,network,multi-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,image,network,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,point,single-step,1
spatio-temporal,TS,network,single-step,1
spatio-temporal,TS,network,single-step,1
temporal,TS,point,single-step,1
spatio-temporal,TS,point,single-step,1
temporal,TS,point,single-step,1
