,t-5,t-4,t-3,t-2,t-1,target
0,60.27,55.3,60.89,60.89,60.89,59.03
1,55.3,60.89,60.89,60.89,59.03,57.17
2,60.89,60.89,60.89,59.03,57.17,55.92
3,60.89,60.89,59.03,57.17,55.92,54.06
4,60.89,59.03,57.17,55.92,54.06,52.82
5,59.03,57.17,55.92,54.06,52.82,54.06
6,57.17,55.92,54.06,52.82,54.06,54.06
7,55.92,54.06,52.82,54.06,54.06,55.3
8,54.06,52.82,54.06,54.06,55.3,54.06
9,52.82,54.06,54.06,55.3,54.06,52.82
10,54.06,54.06,55.3,54.06,52.82,42.25
11,54.06,55.3,54.06,52.82,42.25,41.01
12,55.3,54.06,52.82,42.25,41.01,47.22
13,54.06,52.82,42.25,41.01,47.22,55.3
14,52.82,42.25,41.01,47.22,55.3,52.2
15,42.25,41.01,47.22,55.3,52.2,49.09
16,41.01,47.22,55.3,52.2,49.09,52.2
17,47.22,55.3,52.2,49.09,52.2,54.06
18,55.3,52.2,49.09,52.2,54.06,52.2
19,52.2,49.09,52.2,54.06,52.2,55.3
20,49.09,52.2,54.06,52.2,55.3,52.82
21,52.2,54.06,52.2,55.3,52.82,54.06
22,54.06,52.2,55.3,52.82,54.06,55.3
23,52.2,55.3,52.82,54.06,55.3,52.82
24,55.3,52.82,54.06,55.3,52.82,55.92
25,52.82,54.06,55.3,52.82,55.92,55.3
26,54.06,55.3,52.82,55.92,55.3,59.03
27,55.3,52.82,55.92,55.3,59.03,57.17
28,52.82,55.92,55.3,59.03,57.17,57.79
29,55.92,55.3,59.03,57.17,57.79,57.17
30,55.3,59.03,57.17,57.79,57.17,57.79
31,59.03,57.17,57.79,57.17,57.79,60.27
32,57.17,57.79,57.17,57.79,60.27,55.3
33,57.79,57.17,57.79,60.27,55.3,59.03
34,57.17,57.79,60.27,55.3,59.03,55.92
35,57.79,60.27,55.3,59.03,55.92,57.17
36,60.27,55.3,59.03,55.92,57.17,60.27
37,55.3,59.03,55.92,57.17,60.27,57.17
38,59.03,55.92,57.17,60.27,57.17,59.03
39,55.92,57.17,60.27,57.17,59.03,57.17
40,57.17,60.27,57.17,59.03,57.17,60.27
41,60.27,57.17,59.03,57.17,60.27,60.89
42,57.17,59.03,57.17,60.27,60.89,59.03
43,59.03,57.17,60.27,60.89,59.03,59.03
44,57.17,60.27,60.89,59.03,59.03,57.79
45,60.27,60.89,59.03,59.03,57.79,59.03
46,60.89,59.03,59.03,57.79,59.03,57.17
47,59.03,59.03,57.79,59.03,57.17,60.27
48,59.03,57.79,59.03,57.17,60.27,57.79
49,57.79,59.03,57.17,60.27,57.79,57.17
50,59.03,57.17,60.27,57.79,57.17,57.17
51,57.17,60.27,57.79,57.17,57.17,60.27
52,60.27,57.79,57.17,57.17,60.27,62.14
53,57.79,57.17,57.17,60.27,62.14,59.03
54,57.17,57.17,60.27,62.14,59.03,57.17
55,57.17,60.27,62.14,59.03,57.17,60.27
56,60.27,62.14,59.03,57.17,60.27,62.76
57,62.14,59.03,57.17,60.27,62.76,60.27
58,59.03,57.17,60.27,62.76,60.27,60.27
59,57.17,60.27,62.76,60.27,60.27,60.27
60,60.27,62.76,60.27,60.27,60.27,57.79
61,62.76,60.27,60.27,60.27,57.79,60.27
62,60.27,60.27,60.27,57.79,60.27,60.89
63,60.27,60.27,57.79,60.27,60.89,57.17
64,60.27,57.79,60.27,60.89,57.17,55.3
65,57.79,60.27,60.89,57.17,55.3,60.27
66,60.27,60.89,57.17,55.3,60.27,60.27
67,60.89,57.17,55.3,60.27,60.27,59.03
68,57.17,55.3,60.27,60.27,59.03,59.03
69,55.3,60.27,60.27,59.03,59.03,60.89
70,60.27,60.27,59.03,59.03,60.89,57.17
71,60.27,59.03,59.03,60.89,57.17,57.17
72,59.03,59.03,60.89,57.17,57.17,57.17
73,59.03,60.89,57.17,57.17,57.17,57.17
74,60.89,57.17,57.17,57.17,57.17,60.27
75,57.17,57.17,57.17,57.17,60.27,60.89
76,57.17,57.17,57.17,60.27,60.89,59.03
77,57.17,57.17,60.27,60.89,59.03,59.03
78,57.17,60.27,60.89,59.03,59.03,60.27
79,60.27,60.89,59.03,59.03,60.27,57.79
80,60.89,59.03,59.03,60.27,57.79,60.27
81,59.03,59.03,60.27,57.79,60.27,62.14
82,59.03,60.27,57.79,60.27,62.14,60.27
